state_code,crime_per_100k,poverty
CA,416.077952574138,16.6706896551724
NH,160.15512436,10.17
OR,166.665166778917,17.3555555555556
TX,255.002815777697,17.1590551181102
ND,94.4770582311321,11.4245283018868
NV,434.956352374118,14.0294117647059
OH,138.136986863409,15.3340909090909
KY,98.7178958842083,21.8275
NY,212.165157597419,14.4822580645161
HI,203.3638081,13.22
NM,427.222425846875,20.9
MS,146.211026961781,25.7231707317073
IN,139.118946472609,13.8902173913044
DC,1216.801325,18
WV,252.774189848909,18.7909090909091
NE,61.6263943651613,11.9752688172043
MO,270.209325947913,18.0582608695652
FL,412.9387034,18.2507462686567
ME,115.9571818825,15.1
AR,334.7507271336,21.552
WI,142.59951663125,12.5194444444444
NC,269.3901540027,19.37
CT,180.52094943125,9.4
SD,100.916841346769,16.1815384615385
RI,157.577721514,10.7
OK,253.938991934286,17.3415584415584
ID,156.561056304318,16.1931818181818
GA,295.55259504,22.1981132075472
MN,134.415778915862,11.6724137931035
PA,222.141789541493,13.144776119403
MD,378.3289625625,11.2375
AK,302.471909391364,13.0909090909091
WY,155.001181991304,11.6869565217391
LA,397.330897035238,21.9714285714286
MT,182.74077371125,15.7196428571429
IL,242.787883475971,14.2107843137255
TN,401.288347462631,19.4505263157895
WA,205.449828443846,16.2615384615385
NJ,270.737716620476,10.5333333333333
MI,244.082542115422,16.6879518072289
MA,392.381274414286,12.0428571428571
AL,385.645690819254,21.7626865671642
UT,145.260611038276,13.2689655172414
IA,168.583339336515,11.850505050505
VT,119.252844412143,11.7857142857143
CO,181.824626617031,14.3859375
SC,581.137384376087,21.2130434782609
VA,173.126854959699,14.9729323308271
DE,524.4246666,12.5
AZ,352.629442717333,21.3
KS,237.480368835333,12.8828571428571
